Customer_ID,Customer_Name,Stripe_ID,Revenue,Date
NET0902,Jamie Smith,PAY0713,4137.46955765496,2025-03-01
NET0389,Jordan Davis,PAY0621,950.2550744182452,2025-03-02
NET0262,Taylor Brown,PAY0012,3538.000828970875,2025-03-03
NET0468,Jamie Thomas,PAY0952,2011.8535811848285,2025-03-04
NET0986,Jamie Jackson,PAY0295,2762.458351638594,2025-03-05
NET0012,Robin Smith,PAY0562,3942.0675523820814,2025-03-06
NET0232,Alex Johnson,PAY0784,2027.9274117188336,2025-03-07
NET0678,Taylor Davis,PAY0559,3266.725430994064,2025-03-08
NET0310,Avery Jackson,PAY0201,2135.0043741049235,2025-03-09
NET0472,Alex Thomas,PAY0861,2461.9600952261226,2025-03-10
NET0170,Taylor Thomas,,2736.282701488576,2025-03-11
NET0660,Robin Davis,PAY0496,4313.0034236869415,2025-03-12
NET0530,Riley Jackson,PAY0975,4042.173239133844,2025-03-13
NET0698,Jordan Smith,PAY0095,4281.712199199977,2025-03-14
NET0929,Morgan Taylor,PAY0536,2911.253105576041,2025-03-15
NET0144,Casey Wilson,PAY0506,1793.1000157683932,2025-03-16
NET0207,Morgan Davis,PAY0066,713.8911250080256,2025-03-17
NET0550,Casey Johnson,PAY0638,4983.024620122039,2025-03-18
NET0645,Jamie Taylor,PAY0826,2309.123084848475,2025-03-19
NET0260,Jamie Moore,PAY0797,1516.486896653289,2025-03-20
NET0001,Casey Jackson,PAY0058,3842.9961153174554,2025-03-21
NET0275,Jordan Smith,PAY0236,913.8102585798556,2025-03-22
NET0742,Riley Thomas,PAY0190,4298.840978010518,2025-03-23
NET0603,Jamie Taylor,PAY0922,926.3012682154096,2025-03-24
NET0515,Jamie Thomas,PAY0772,2015.771275238262,2025-03-25
NET0123,Jordan Jackson,PAY0884,802.713994301314,2025-03-26
NET0565,Casey Jackson,PAY0059,4105.335521621901,2025-03-27
NET0829,Taylor Johnson,PAY0035,2638.707652106706,2025-03-28
NET0223,Alex Davis,PAY0827,1443.8262139478634,2025-03-29
NET0443,Jordan Johnson,PAY0229,4080.432872064241,2025-03-30
NET0858,Taylor Johnson,PAY0773,3431.9156609984134,2025-03-31
NET0910,Robin Wilson,PAY0665,1858.311565748437,2025-04-01
NET0771,Riley Moore,PAY0113,4118.570203703572,2025-04-02
NET0209,Morgan Moore,PAY0875,2448.0971804675096,2025-04-03
NET0991,Casey Davis,PAY0838,2929.764106199804,2025-04-04
NET0854,Jordan Johnson,PAY0176,1400.3464345962857,2025-04-05
NET0582,Quinn Brown,PAY0599,2310.354300817039,2025-04-06
NET0082,Avery Davis,PAY1000,3312.3374418851845,2025-04-07
NET0933,Morgan Anderson,PAY0025,2539.528723970213,2025-04-08
