Stripe_ID,Customer_Name
PAY0001,['Casey Smith']
PAY0019,['Jamie Davis']
PAY0057,['Jamie Johnson']
PAY0074,['Avery Smith']
PAY0125,['Taylor Anderson']
PAY0160,['Robin Brown']
PAY0227,['Riley Thomas']
PAY0244,['Taylor Wilson']
PAY0338,['Jordan Taylor']
PAY0364,['Robin Taylor']
PAY0390,['Jordan Davis']
PAY0404,['Jordan Anderson']
PAY0412,['Morgan Johnson']
PAY0415,['Avery Thomas']
PAY0442,['Taylor Johnson']
PAY0513,['Quinn Brown']
PAY0649,['Avery Moore']
PAY0662,['Riley Thomas']
PAY0719,['Taylor Moore']
PAY0743,['Riley Thomas']
PAY0754,['Alex Anderson']
PAY0757,['Riley Smith']
PAY0770,['Quinn Davis']
PAY0802,['Jamie Brown']
PAY0828,['Jamie Moore']
PAY0841,['Casey Smith']
PAY0857,['Robin Wilson']
PAY0870,['Casey Wilson']
PAY0962,['Riley Brown']
PAY0979,['Alex Wilson']
