Customer_ID,Customer_Name
NET0013,['Jamie Moore']
NET0028,['Taylor Anderson']
NET0083,['Riley Thomas']
NET0098,['Alex Wilson']
NET0102,['Jamie Johnson']
NET0107,['Riley Brown']
NET0116,['Avery Thomas']
NET0122,['Jordan Taylor']
NET0127,['Jordan Davis']
NET0140,['Casey Smith']
NET0155,['Quinn Davis']
NET0197,['Casey Wilson']
NET0247,['Robin Wilson']
NET0281,['Robin Taylor']
NET0285,['Morgan Johnson']
NET0291,['Quinn Brown']
NET0366,['Riley Thomas']
NET0401,['Casey Smith']
NET0494,['Avery Smith']
NET0503,['Robin Brown']
NET0516,['Riley Thomas']
NET0559,['Taylor Moore']
NET0730,['Avery Moore']
NET0733,['Taylor Johnson']
NET0794,['Alex Anderson']
NET0844,['Jamie Brown']
NET0848,['Jordan Anderson']
NET0896,['Riley Smith']
NET0944,['Jamie Davis']
NET0978,['Taylor Wilson']
